Index,X,Y,Area
1051,1693,1073,48.0
1052,1656,1073,87.5
1053,986,1083,664.0
1054,2141,1071,118.0
1055,3031,1069,78.5
1056,1072,1066,8.5
1057,2105,1062,60.5
1058,1869,1083,1801.0
1059,1793,1072,747.0
1060,2817,1076,1033.0
1061,2775,1058,88.5
1062,1314,1057,111.5
1063,1437,1054,68.5
1064,1969,1051,34.0
1065,1276,1057,408.5
1066,2064,1055,552.5
1067,874,1044,9.5
1068,2899,1042,6.5
1069,1643,1043,7.5
1070,1665,1040,3.0
1071,1165,1068,2684.5
1072,3387,1062,1470.0
1073,3276,1047,261.0
1074,3221,1041,38.0
1075,1320,1037,29.0
1076,1937,1035,54.0
1077,2236,1052,1018.0
1078,2499,1041,914.5
1079,2390,1038,447.5
1080,3167,1035,414.5
1081,2660,1053,3540.0
1082,1128,1028,68.5
1083,816,1028,87.5
1084,3042,1037,768.0
1085,2457,1035,301.5
1086,2050,1028,124.5
1087,2744,1023,79.0
1088,2157,1023,124.0
1089,2963,1040,2270.0
1090,3093,1021,105.0
1091,1545,1017,11.0
1092,1287,1021,172.5
1093,1506,1039,1487.0
1094,2031,1017,184.5
1095,3338,1007,22.5
1096,3141,1005,3.5
1097,928,1023,1330.5
1098,2331,1003,5.5
1099,3081,1004,101.0
1100,2926,998,12.0
1101,2120,1002,144.5
1102,2823,1007,530.5
1103,1170,996,6.0
1104,1089,1008,746.5
1105,854,994,19.0
1106,3184,992,27.5
1107,2696,993,94.0
1108,3270,993,162.5
1109,3374,989,34.5
1110,2348,992,128.0
1111,1996,986,1.0
1112,1632,987,5.0
1113,2468,994,313.5
1114,2303,987,94.5
1115,1524,980,2.5
1116,3157,979,8.0
1117,2007,977,1.5
1118,3018,977,7.0
1119,1027,978,31.5
1120,2509,976,34.0
1121,2169,973,12.0
1122,832,976,76.5
1123,1742,996,2346.5
1124,1644,978,152.5
1125,2523,970,34.0
1126,972,964,19.0
1127,3135,961,11.5
1128,1458,961,4.5
1129,2443,964,94.0
1130,1170,972,775.0
1131,2617,960,112.5
1132,2336,956,17.0
1133,2638,958,76.5
1134,1530,954,8.5
1135,3159,953,9.0
1136,2836,955,80.5
1137,2087,950,1.0
1138,1655,951,10.5
1139,1264,951,33.0
1140,2584,948,29.0
1141,1881,949,55.0
1142,1541,948,66.5
1143,1969,979,2734.0
1144,1859,952,247.5
1145,1245,944,2.0
1146,1063,944,3.5
1147,3351,945,12.5
1148,2098,948,81.0
1149,2864,943,10.0
1150,2446,945,73.5
